"Story","Title","Result","Date","Stability","Duration (s)"
"Add to cart story","Add game to cart","SUCCESS","2022-11-24T16:22:32.208+02:00[Asia/Beirut]","0.0","13.24"
"Remove game from cart story","Remove game from cart","SUCCESS","2022-11-24T16:49:13.732+02:00[Asia/Beirut]","0.0","18.5"
"Login story","Login succesfully","SUCCESS","2022-11-24T13:34:05.809+02:00[Asia/Beirut]","0.0","14.63"
"Login story","Login invalid","SUCCESS","2022-11-24T13:55:30.246+02:00[Asia/Beirut]","0.0","13.51"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2022-11-23T22:17:37.103+02:00[Asia/Beirut]","0.0","9.27"
"Search game story","Searching by keyword biber gang should not display the list of games","SUCCESS","2022-11-24T12:37:22.769+02:00[Asia/Beirut]","0.0","11.69"
"Search game story","Searching by keyword dixit should display the list of games","SUCCESS","2022-11-24T20:07:01.485+02:00[Asia/Beirut]","0.0","12.8"
"Search game story parameterized","Searching by given keyword should display the list of games","SUCCESS","2022-11-24T20:08:10.3+02:00[Asia/Beirut]","0.0","21.0"
